position (epoch),absolute position (hh:mm:ss.ms),Default Staging Set ("stage")
1,21:34:01.000,W
2,21:34:31.000,W
3,21:35:01.000,W
4,21:35:31.000,W
5,21:36:01.000,W
6,21:36:31.000,W
7,21:37:01.000,W
8,21:37:31.000,W
9,21:38:01.000,N1
10,21:38:31.000,N1
11,21:39:01.000,N2
12,21:39:31.000,N2
13,21:40:01.000,N2
14,21:40:31.000,N2
15,21:41:01.000,N2
16,21:41:31.000,N1
17,21:42:01.000,N2
18,21:42:31.000,N2
19,21:43:01.000,N2
20,21:43:31.000,N2
21,21:44:01.000,N1
22,21:44:31.000,N2
23,21:45:01.000,N2
24,21:45:31.000,N2
25,21:46:01.000,N2
26,21:46:31.000,N2
27,21:47:01.000,N1
28,21:47:31.000,N2
29,21:48:01.000,N2
30,21:48:31.000,N2
31,21:49:01.000,N2
32,21:49:31.000,N2
33,21:50:01.000,N2
34,21:50:31.000,N2
35,21:51:01.000,N2
36,21:51:31.000,N2
37,21:52:01.000,N2
38,21:52:31.000,N2
39,21:53:01.000,N2
40,21:53:31.000,N2
41,21:54:01.000,N2
42,21:54:31.000,N2
43,21:55:01.000,N2
44,21:55:31.000,N2
45,21:56:01.000,N2
46,21:56:31.000,N2
47,21:57:01.000,N2
48,21:57:31.000,N2
49,21:58:01.000,N2
50,21:58:31.000,N2
51,21:59:01.000,N2
52,21:59:31.000,W
53,22:00:01.000,N1
54,22:00:31.000,N2
55,22:01:01.000,W
56,22:01:31.000,W
57,22:02:01.000,W
58,22:02:31.000,W
59,22:03:01.000,W
60,22:03:31.000,W
61,22:04:01.000,W
62,22:04:31.000,W
63,22:05:01.000,N1
64,22:05:31.000,N1
65,22:06:01.000,N2
66,22:06:31.000,N2
67,22:07:01.000,N2
68,22:07:31.000,N2
69,22:08:01.000,N2
70,22:08:31.000,N2
71,22:09:01.000,N2
72,22:09:31.000,N2
73,22:10:01.000,N2
74,22:10:31.000,N2
75,22:11:01.000,N2
76,22:11:31.000,N2
77,22:12:01.000,N2
78,22:12:31.000,N2
79,22:13:01.000,N2
80,22:13:31.000,N2
81,22:14:01.000,N2
82,22:14:31.000,N2
83,22:15:01.000,N2
84,22:15:31.000,N2
85,22:16:01.000,N2
86,22:16:31.000,N2
87,22:17:01.000,N2
88,22:17:31.000,N2
89,22:18:01.000,N2
90,22:18:31.000,N2
91,22:19:01.000,N2
92,22:19:31.000,N2
93,22:20:01.000,N2
94,22:20:31.000,N2
95,22:21:01.000,N2
96,22:21:31.000,N1
97,22:22:01.000,N2
98,22:22:31.000,N2
99,22:23:01.000,N2
100,22:23:31.000,N2
101,22:24:01.000,N2
102,22:24:31.000,N2
103,22:25:01.000,N2
104,22:25:31.000,N2
105,22:26:01.000,N2
106,22:26:31.000,N2
107,22:27:01.000,N2
108,22:27:31.000,N2
109,22:28:01.000,N2
110,22:28:31.000,N2
111,22:29:01.000,N2
112,22:29:31.000,N2
113,22:30:01.000,N2
114,22:30:31.000,N2
115,22:31:01.000,N2
116,22:31:31.000,N2
117,22:32:01.000,N1
118,22:32:31.000,N2
119,22:33:01.000,N2
120,22:33:31.000,N2
121,22:34:01.000,N2
122,22:34:31.000,N2
123,22:35:01.000,N2
124,22:35:31.000,W
125,22:36:01.000,W
126,22:36:31.000,W
127,22:37:01.000,W
