position (epoch),absolute position (hh:mm:ss.ms),Default Staging Set ("stage")
1,22:18:01.000,W
2,22:18:31.000,W
3,22:19:01.000,W
4,22:19:31.000,W
5,22:20:01.000,N1
6,22:20:31.000,N1
7,22:21:01.000,N1
8,22:21:31.000,N1
9,22:22:01.000,N1
10,22:22:31.000,N2
11,22:23:01.000,N1
12,22:23:31.000,N1
13,22:24:01.000,N1
14,22:24:31.000,N1
15,22:25:01.000,N1
16,22:25:31.000,N1
17,22:26:01.000,N1
18,22:26:31.000,N1
19,22:27:01.000,N1
20,22:27:31.000,N1
21,22:28:01.000,N1
22,22:28:31.000,N2
23,22:29:01.000,N2
24,22:29:31.000,N2
25,22:30:01.000,N1
26,22:30:31.000,N2
27,22:31:01.000,N1
28,22:31:31.000,N2
29,22:32:01.000,N2
30,22:32:31.000,N1
31,22:33:01.000,N2
32,22:33:31.000,N1
33,22:34:01.000,N1
34,22:34:31.000,N1
35,22:35:01.000,N2
36,22:35:31.000,N2
37,22:36:01.000,N2
38,22:36:31.000,N1
39,22:37:01.000,N1
40,22:37:31.000,N1
41,22:38:01.000,N1
42,22:38:31.000,N2
43,22:39:01.000,N2
44,22:39:31.000,N2
45,22:40:01.000,N2
46,22:40:31.000,N1
47,22:41:01.000,N1
48,22:41:31.000,N1
49,22:42:01.000,N2
50,22:42:31.000,N1
51,22:43:01.000,N1
52,22:43:31.000,N1
53,22:44:01.000,N1
54,22:44:31.000,N2
55,22:45:01.000,N1
56,22:45:31.000,N2
57,22:46:01.000,N1
58,22:46:31.000,N1
59,22:47:01.000,N1
60,22:47:31.000,N2
61,22:48:01.000,N1
62,22:48:31.000,N2
63,22:49:01.000,N1
64,22:49:31.000,N1
65,22:50:01.000,N1
66,22:50:31.000,N1
67,22:51:01.000,N1
68,22:51:31.000,N2
69,22:52:01.000,N1
70,22:52:31.000,N1
71,22:53:01.000,N1
72,22:53:31.000,N2
73,22:54:01.000,N2
74,22:54:31.000,N2
75,22:55:01.000,N1
76,22:55:31.000,N1
77,22:56:01.000,N2
78,22:56:31.000,N2
79,22:57:01.000,N1
80,22:57:31.000,N1
81,22:58:01.000,N1
82,22:58:31.000,N2
83,22:59:01.000,N2
84,22:59:31.000,N1
85,23:00:01.000,N1
86,23:00:31.000,N1
87,23:01:01.000,N1
88,23:01:31.000,N1
89,23:02:01.000,N2
90,23:02:31.000,N1
91,23:03:01.000,W
92,23:03:31.000,N1
93,23:04:01.000,N1
94,23:04:31.000,N1
95,23:05:01.000,N2
96,23:05:31.000,N1
97,23:06:01.000,N2
98,23:06:31.000,N1
99,23:07:01.000,N1
100,23:07:31.000,N2
101,23:08:01.000,N2
102,23:08:31.000,N2
103,23:09:01.000,N2
104,23:09:31.000,N1
105,23:10:01.000,W
106,23:10:31.000,N1
107,23:11:01.000,N2
108,23:11:31.000,N1
109,23:12:01.000,N2
110,23:12:31.000,N2
111,23:13:01.000,N2
112,23:13:31.000,N1
113,23:14:01.000,N1
114,23:14:31.000,N1
115,23:15:01.000,N2
116,23:15:31.000,N1
117,23:16:01.000,N1
118,23:16:31.000,N1
119,23:17:01.000,N2
120,23:17:31.000,N1
121,23:18:01.000,N2
122,23:18:31.000,N1
123,23:19:01.000,N1
124,23:19:31.000,N2
125,23:20:01.000,N2
126,23:20:31.000,N2
127,23:21:01.000,N1
128,23:21:31.000,N2
129,23:22:01.000,N1
130,23:22:31.000,N1
131,23:23:01.000,N1
132,23:23:31.000,N1
133,23:24:01.000,N2
134,23:24:31.000,N1
135,23:25:01.000,N1
136,23:25:31.000,N1
137,23:26:01.000,N1
138,23:26:31.000,N1
139,23:27:01.000,N1
140,23:27:31.000,N1
141,23:28:01.000,N1
142,23:28:31.000,N2
143,23:29:01.000,N1
144,23:29:31.000,N1
145,23:30:01.000,N1
146,23:30:31.000,N1
147,23:31:01.000,N1
148,23:31:31.000,N2
149,23:32:01.000,N1
150,23:32:31.000,N1
151,23:33:01.000,N1
152,23:33:31.000,N1
153,23:34:01.000,N2
154,23:34:31.000,N1
155,23:35:01.000,N1
156,23:35:31.000,N1
157,23:36:01.000,N2
158,23:36:31.000,N1
159,23:37:01.000,N1
160,23:37:31.000,N2
161,23:38:01.000,N2
162,23:38:31.000,N2
163,23:39:01.000,N1
164,23:39:31.000,N2
165,23:40:01.000,N2
166,23:40:31.000,N1
167,23:41:01.000,N1
168,23:41:31.000,N1
169,23:42:01.000,N1
170,23:42:31.000,N1
171,23:43:01.000,N2
172,23:43:31.000,N1
173,23:44:01.000,N2
174,23:44:31.000,N1
175,23:45:01.000,N1
176,23:45:31.000,N1
177,23:46:01.000,N1
178,23:46:31.000,N2
179,23:47:01.000,N1
180,23:47:31.000,N1
181,23:48:01.000,N1
182,23:48:31.000,N2
183,23:49:01.000,N2
184,23:49:31.000,N1
185,23:50:01.000,N1
186,23:50:31.000,N1
187,23:51:01.000,N1
188,23:51:31.000,N1
189,23:52:01.000,N1
190,23:52:31.000,N1
191,23:53:01.000,N1
192,23:53:31.000,N2
193,23:54:01.000,N1
194,23:54:31.000,N1
195,23:55:01.000,N1
196,23:55:31.000,N2
197,23:56:01.000,N2
198,23:56:31.000,N1
199,23:57:01.000,N1
200,23:57:31.000,N1
201,23:58:01.000,N1
202,23:58:31.000,N2
203,23:59:01.000,W
204,23:59:31.000,W
205,00:00:01.000,W
206,00:00:31.000,W
207,00:01:01.000,W
208,00:01:31.000,W
209,00:02:01.000,W
210,00:02:31.000,W
211,00:03:01.000,N1
212,00:03:31.000,N1
213,00:04:01.000,N1
214,00:04:31.000,N1
215,00:05:01.000,N1
216,00:05:31.000,N1
217,00:06:01.000,N1
218,00:06:31.000,N1
219,00:07:01.000,N1
220,00:07:31.000,N1
221,00:08:01.000,N1
222,00:08:31.000,R
223,00:09:01.000,R
224,00:09:31.000,R
225,00:10:01.000,R
226,00:10:31.000,R
227,00:11:01.000,R
228,00:11:31.000,R
229,00:12:01.000,R
230,00:12:31.000,R
231,00:13:01.000,R
232,00:13:31.000,R
233,00:14:01.000,R
234,00:14:31.000,R
235,00:15:01.000,R
236,00:15:31.000,R
237,00:16:01.000,R
238,00:16:31.000,R
239,00:17:01.000,R
240,00:17:31.000,R
241,00:18:01.000,R
242,00:18:31.000,R
243,00:19:01.000,R
244,00:19:31.000,R
245,00:20:01.000,R
246,00:20:31.000,R
247,00:21:01.000,R
248,00:21:31.000,R
249,00:22:01.000,R
250,00:22:31.000,R
251,00:23:01.000,R
252,00:23:31.000,R
253,00:24:01.000,R
254,00:24:31.000,R
255,00:25:01.000,R
256,00:25:31.000,R
257,00:26:01.000,R
258,00:26:31.000,R
259,00:27:01.000,R
260,00:27:31.000,R
261,00:28:01.000,R
262,00:28:31.000,R
263,00:29:01.000,R
264,00:29:31.000,R
265,00:30:01.000,R
266,00:30:31.000,R
267,00:31:01.000,R
268,00:31:31.000,N1
269,00:32:01.000,N1
270,00:32:31.000,R
271,00:33:01.000,N1
272,00:33:31.000,N1
273,00:34:01.000,N1
274,00:34:31.000,N2
275,00:35:01.000,N1
276,00:35:31.000,N2
277,00:36:01.000,N2
278,00:36:31.000,N1
279,00:37:01.000,N1
280,00:37:31.000,N1
281,00:38:01.000,N2
282,00:38:31.000,N1
283,00:39:01.000,N1
284,00:39:31.000,N1
285,00:40:01.000,N2
286,00:40:31.000,N1
287,00:41:01.000,N1
288,00:41:31.000,N1
289,00:42:01.000,N1
290,00:42:31.000,N2
291,00:43:01.000,N2
292,00:43:31.000,N1
293,00:44:01.000,N2
294,00:44:31.000,N1
295,00:45:01.000,N1
296,00:45:31.000,N1
297,00:46:01.000,N1
298,00:46:31.000,N2
299,00:47:01.000,N1
300,00:47:31.000,N1
301,00:48:01.000,N1
302,00:48:31.000,N2
303,00:49:01.000,N2
304,00:49:31.000,N2
305,00:50:01.000,N1
306,00:50:31.000,N1
307,00:51:01.000,N1
308,00:51:31.000,N1
309,00:52:01.000,N1
310,00:52:31.000,N2
311,00:53:01.000,N1
312,00:53:31.000,N2
313,00:54:01.000,N1
314,00:54:31.000,N1
315,00:55:01.000,N1
316,00:55:31.000,N1
317,00:56:01.000,N1
318,00:56:31.000,N1
319,00:57:01.000,N2
320,00:57:31.000,N2
321,00:58:01.000,N1
322,00:58:31.000,N1
323,00:59:01.000,N2
324,00:59:31.000,N2
325,01:00:01.000,N1
326,01:00:31.000,N1
327,01:01:01.000,N1
328,01:01:31.000,N1
329,01:02:01.000,N1
330,01:02:31.000,N2
331,01:03:01.000,N1
332,01:03:31.000,N1
333,01:04:01.000,N1
334,01:04:31.000,N1
335,01:05:01.000,N2
336,01:05:31.000,N2
337,01:06:01.000,N2
338,01:06:31.000,N1
339,01:07:01.000,N1
340,01:07:31.000,N1
341,01:08:01.000,N1
342,01:08:31.000,N1
343,01:09:01.000,N1
344,01:09:31.000,N1
345,01:10:01.000,N1
346,01:10:31.000,N1
347,01:11:01.000,N1
348,01:11:31.000,N1
349,01:12:01.000,N1
350,01:12:31.000,N1
351,01:13:01.000,N1
352,01:13:31.000,N2
353,01:14:01.000,N1
354,01:14:31.000,N1
355,01:15:01.000,N1
356,01:15:31.000,N1
357,01:16:01.000,N1
358,01:16:31.000,N1
359,01:17:01.000,N2
360,01:17:31.000,N1
361,01:18:01.000,N1
362,01:18:31.000,N1
363,01:19:01.000,N1
364,01:19:31.000,N1
365,01:20:01.000,N1
366,01:20:31.000,N1
367,01:21:01.000,N2
368,01:21:31.000,N1
369,01:22:01.000,N1
370,01:22:31.000,N1
371,01:23:01.000,N1
372,01:23:31.000,N1
373,01:24:01.000,N1
374,01:24:31.000,N1
375,01:25:01.000,N1
376,01:25:31.000,N1
377,01:26:01.000,N1
378,01:26:31.000,N2
379,01:27:01.000,N2
380,01:27:31.000,N2
381,01:28:01.000,N1
382,01:28:31.000,N1
383,01:29:01.000,N1
384,01:29:31.000,N1
385,01:30:01.000,N1
386,01:30:31.000,N1
387,01:31:01.000,N1
388,01:31:31.000,N2
389,01:32:01.000,N1
390,01:32:31.000,N1
391,01:33:01.000,N1
392,01:33:31.000,N2
393,01:34:01.000,N1
394,01:34:31.000,N1
395,01:35:01.000,N1
396,01:35:31.000,N1
397,01:36:01.000,N1
398,01:36:31.000,N1
399,01:37:01.000,W
400,01:37:31.000,N1
401,01:38:01.000,W
402,01:38:31.000,W
403,01:39:01.000,W
404,01:39:31.000,W
405,01:40:01.000,N1
406,01:40:31.000,N1
407,01:41:01.000,N1
408,01:41:31.000,N2
409,01:42:01.000,N1
410,01:42:31.000,N1
411,01:43:01.000,N1
412,01:43:31.000,N1
413,01:44:01.000,N1
414,01:44:31.000,N1
415,01:45:01.000,N1
416,01:45:31.000,N1
417,01:46:01.000,N2
418,01:46:31.000,N1
419,01:47:01.000,W
420,01:47:31.000,N1
421,01:48:01.000,N1
422,01:48:31.000,N1
423,01:49:01.000,W
424,01:49:31.000,N1
425,01:50:01.000,N1
426,01:50:31.000,N1
427,01:51:01.000,N1
428,01:51:31.000,N1
429,01:52:01.000,N1
430,01:52:31.000,N1
431,01:53:01.000,N2
432,01:53:31.000,N2
433,01:54:01.000,W
434,01:54:31.000,N1
435,01:55:01.000,N1
436,01:55:31.000,N2
437,01:56:01.000,N2
438,01:56:31.000,N1
439,01:57:01.000,W
440,01:57:31.000,N1
441,01:58:01.000,N1
442,01:58:31.000,W
443,01:59:01.000,N1
444,01:59:31.000,N1
445,02:00:01.000,N1
446,02:00:31.000,N1
447,02:01:01.000,N1
448,02:01:31.000,N1
449,02:02:01.000,N1
450,02:02:31.000,N2
451,02:03:01.000,N1
452,02:03:31.000,N1
453,02:04:01.000,N1
454,02:04:31.000,N1
455,02:05:01.000,N1
456,02:05:31.000,N1
457,02:06:01.000,N1
458,02:06:31.000,N1
459,02:07:01.000,N1
460,02:07:31.000,N1
461,02:08:01.000,N1
462,02:08:31.000,N1
463,02:09:01.000,N2
464,02:09:31.000,N1
465,02:10:01.000,N1
466,02:10:31.000,N1
467,02:11:01.000,N2
468,02:11:31.000,N1
469,02:12:01.000,N2
470,02:12:31.000,N1
471,02:13:01.000,N2
472,02:13:31.000,N2
473,02:14:01.000,N1
474,02:14:31.000,N1
475,02:15:01.000,N1
476,02:15:31.000,N1
477,02:16:01.000,N1
478,02:16:31.000,N1
479,02:17:01.000,N1
480,02:17:31.000,N2
481,02:18:01.000,N1
482,02:18:31.000,N1
483,02:19:01.000,N1
484,02:19:31.000,N2
485,02:20:01.000,N2
486,02:20:31.000,N1
487,02:21:01.000,N1
488,02:21:31.000,N1
489,02:22:01.000,N1
490,02:22:31.000,N1
491,02:23:01.000,N1
492,02:23:31.000,N1
493,02:24:01.000,N2
494,02:24:31.000,N2
495,02:25:01.000,N1
496,02:25:31.000,N1
497,02:26:01.000,N1
498,02:26:31.000,N2
499,02:27:01.000,N1
500,02:27:31.000,N1
501,02:28:01.000,N2
502,02:28:31.000,N2
503,02:29:01.000,N1
504,02:29:31.000,N1
505,02:30:01.000,N2
506,02:30:31.000,N1
507,02:31:01.000,N1
508,02:31:31.000,N1
509,02:32:01.000,N1
510,02:32:31.000,N1
511,02:33:01.000,N2
512,02:33:31.000,N1
513,02:34:01.000,N1
514,02:34:31.000,N2
515,02:35:01.000,N1
516,02:35:31.000,N1
517,02:36:01.000,N1
518,02:36:31.000,N2
519,02:37:01.000,N1
520,02:37:31.000,N2
521,02:38:01.000,N1
522,02:38:31.000,N2
523,02:39:01.000,N1
524,02:39:31.000,W
525,02:40:01.000,N1
526,02:40:31.000,N1
527,02:41:01.000,N1
528,02:41:31.000,N1
529,02:42:01.000,N2
530,02:42:31.000,N1
531,02:43:01.000,N1
532,02:43:31.000,N1
533,02:44:01.000,N2
534,02:44:31.000,N1
535,02:45:01.000,N2
536,02:45:31.000,N1
537,02:46:01.000,N1
538,02:46:31.000,N2
539,02:47:01.000,N2
540,02:47:31.000,N1
541,02:48:01.000,N1
542,02:48:31.000,N2
543,02:49:01.000,N1
544,02:49:31.000,N1
545,02:50:01.000,N1
546,02:50:31.000,N2
547,02:51:01.000,N2
548,02:51:31.000,N1
549,02:52:01.000,N1
550,02:52:31.000,N1
551,02:53:01.000,N1
552,02:53:31.000,N1
553,02:54:01.000,N1
554,02:54:31.000,N1
555,02:55:01.000,N1
556,02:55:31.000,N1
557,02:56:01.000,N1
558,02:56:31.000,N1
559,02:57:01.000,N1
560,02:57:31.000,N1
561,02:58:01.000,N1
562,02:58:31.000,N2
563,02:59:01.000,N1
564,02:59:31.000,N1
565,03:00:01.000,N1
566,03:00:31.000,N1
567,03:01:01.000,N1
568,03:01:31.000,N1
569,03:02:01.000,N1
570,03:02:31.000,N1
571,03:03:01.000,N1
572,03:03:31.000,N1
573,03:04:01.000,N1
574,03:04:31.000,N1
575,03:05:01.000,N1
576,03:05:31.000,N1
577,03:06:01.000,N2
578,03:06:31.000,N1
579,03:07:01.000,N1
580,03:07:31.000,N1
581,03:08:01.000,N1
582,03:08:31.000,N1
583,03:09:01.000,N1
584,03:09:31.000,N1
585,03:10:01.000,N2
586,03:10:31.000,N1
587,03:11:01.000,N2
588,03:11:31.000,R
589,03:12:01.000,R
590,03:12:31.000,R
591,03:13:01.000,N1
592,03:13:31.000,N1
593,03:14:01.000,R
594,03:14:31.000,R
595,03:15:01.000,R
596,03:15:31.000,R
597,03:16:01.000,R
598,03:16:31.000,R
599,03:17:01.000,R
600,03:17:31.000,R
601,03:18:01.000,R
602,03:18:31.000,R
603,03:19:01.000,R
604,03:19:31.000,R
605,03:20:01.000,R
606,03:20:31.000,R
607,03:21:01.000,R
608,03:21:31.000,R
609,03:22:01.000,R
610,03:22:31.000,R
611,03:23:01.000,N2
612,03:23:31.000,N1
613,03:24:01.000,N1
614,03:24:31.000,N1
615,03:25:01.000,N1
616,03:25:31.000,N1
617,03:26:01.000,N1
618,03:26:31.000,N2
619,03:27:01.000,N1
620,03:27:31.000,N1
621,03:28:01.000,N2
622,03:28:31.000,N1
623,03:29:01.000,N1
624,03:29:31.000,N1
625,03:30:01.000,N1
626,03:30:31.000,N1
627,03:31:01.000,N1
628,03:31:31.000,N1
629,03:32:01.000,N1
630,03:32:31.000,W
631,03:33:01.000,N1
632,03:33:31.000,N1
633,03:34:01.000,N1
634,03:34:31.000,N1
635,03:35:01.000,N1
636,03:35:31.000,N1
637,03:36:01.000,N1
638,03:36:31.000,N2
639,03:37:01.000,N1
640,03:37:31.000,N2
641,03:38:01.000,N1
642,03:38:31.000,N2
643,03:39:01.000,N1
644,03:39:31.000,N1
645,03:40:01.000,N1
646,03:40:31.000,N1
647,03:41:01.000,N1
648,03:41:31.000,W
649,03:42:01.000,N1
650,03:42:31.000,N1
651,03:43:01.000,N1
652,03:43:31.000,N1
653,03:44:01.000,N1
654,03:44:31.000,N1
655,03:45:01.000,N1
656,03:45:31.000,N1
657,03:46:01.000,N1
658,03:46:31.000,N1
659,03:47:01.000,N1
660,03:47:31.000,N1
661,03:48:01.000,N1
662,03:48:31.000,N1
663,03:49:01.000,N1
664,03:49:31.000,N1
665,03:50:01.000,N1
666,03:50:31.000,N1
667,03:51:01.000,N1
668,03:51:31.000,N2
669,03:52:01.000,N1
670,03:52:31.000,N1
671,03:53:01.000,N1
672,03:53:31.000,N2
673,03:54:01.000,N1
674,03:54:31.000,N1
675,03:55:01.000,N1
676,03:55:31.000,N1
677,03:56:01.000,N1
678,03:56:31.000,N1
679,03:57:01.000,N1
680,03:57:31.000,N1
681,03:58:01.000,N1
682,03:58:31.000,N1
683,03:59:01.000,N1
684,03:59:31.000,N1
685,04:00:01.000,N1
686,04:00:31.000,W
687,04:01:01.000,W
688,04:01:31.000,W
689,04:02:01.000,W
690,04:02:31.000,W
691,04:03:01.000,W
692,04:03:31.000,W
693,04:04:01.000,W
694,04:04:31.000,W
695,04:05:01.000,W
696,04:05:31.000,W
697,04:06:01.000,W
698,04:06:31.000,W
699,04:07:01.000,W
700,04:07:31.000,W
701,04:08:01.000,W
702,04:08:31.000,W
703,04:09:01.000,W
704,04:09:31.000,W
705,04:10:01.000,W
706,04:10:31.000,W
707,04:11:01.000,W
708,04:11:31.000,W
709,04:12:01.000,W
710,04:12:31.000,W
711,04:13:01.000,W
712,04:13:31.000,W
713,04:14:01.000,W
714,04:14:31.000,W
715,04:15:01.000,W
716,04:15:31.000,W
717,04:16:01.000,W
718,04:16:31.000,W
719,04:17:01.000,W
720,04:17:31.000,W
721,04:18:01.000,W
722,04:18:31.000,W
723,04:19:01.000,W
724,04:19:31.000,W
725,04:20:01.000,W
726,04:20:31.000,W
727,04:21:01.000,W
728,04:21:31.000,W
729,04:22:01.000,W
730,04:22:31.000,W
731,04:23:01.000,W
732,04:23:31.000,W
733,04:24:01.000,W
734,04:24:31.000,W
735,04:25:01.000,W
736,04:25:31.000,W
737,04:26:01.000,W
738,04:26:31.000,W
739,04:27:01.000,W
740,04:27:31.000,W
741,04:28:01.000,W
742,04:28:31.000,W
743,04:29:01.000,W
744,04:29:31.000,W
745,04:30:01.000,W
746,04:30:31.000,W
747,04:31:01.000,W
748,04:31:31.000,W
749,04:32:01.000,W
750,04:32:31.000,W
751,04:33:01.000,W
752,04:33:31.000,W
753,04:34:01.000,W
754,04:34:31.000,W
755,04:35:01.000,W
756,04:35:31.000,W
757,04:36:01.000,W
758,04:36:31.000,W
759,04:37:01.000,W
760,04:37:31.000,W
761,04:38:01.000,W
762,04:38:31.000,W
763,04:39:01.000,W
764,04:39:31.000,W
765,04:40:01.000,W
766,04:40:31.000,W
767,04:41:01.000,W
768,04:41:31.000,W
769,04:42:01.000,W
770,04:42:31.000,W
771,04:43:01.000,W
772,04:43:31.000,W
773,04:44:01.000,W
774,04:44:31.000,W
775,04:45:01.000,W
776,04:45:31.000,W
777,04:46:01.000,W
778,04:46:31.000,W
779,04:47:01.000,W
780,04:47:31.000,W
781,04:48:01.000,W
782,04:48:31.000,W
783,04:49:01.000,W
784,04:49:31.000,W
785,04:50:01.000,W
786,04:50:31.000,W
787,04:51:01.000,W
788,04:51:31.000,W
789,04:52:01.000,W
790,04:52:31.000,W
791,04:53:01.000,W
792,04:53:31.000,W
793,04:54:01.000,W
794,04:54:31.000,W
795,04:55:01.000,W
796,04:55:31.000,W
797,04:56:01.000,W
798,04:56:31.000,W
799,04:57:01.000,W
800,04:57:31.000,W
801,04:58:01.000,W
802,04:58:31.000,W
803,04:59:01.000,W
804,04:59:31.000,W
805,05:00:01.000,W
806,05:00:31.000,W
807,05:01:01.000,W
808,05:01:31.000,W
809,05:02:01.000,W
810,05:02:31.000,W
811,05:03:01.000,W
812,05:03:31.000,W
813,05:04:01.000,W
814,05:04:31.000,W
815,05:05:01.000,W
816,05:05:31.000,W
817,05:06:01.000,W
818,05:06:31.000,W
819,05:07:01.000,W
820,05:07:31.000,W
821,05:08:01.000,W
822,05:08:31.000,W
823,05:09:01.000,W
824,05:09:31.000,W
825,05:10:01.000,W
826,05:10:31.000,W
827,05:11:01.000,W
828,05:11:31.000,W
829,05:12:01.000,W
830,05:12:31.000,W
831,05:13:01.000,W
832,05:13:31.000,W
833,05:14:01.000,W
834,05:14:31.000,W
835,05:15:01.000,W
836,05:15:31.000,W
837,05:16:01.000,W
838,05:16:31.000,W
839,05:17:01.000,W
840,05:17:31.000,W
841,05:18:01.000,W
842,05:18:31.000,W
843,05:19:01.000,W
844,05:19:31.000,W
845,05:20:01.000,W
846,05:20:31.000,W
847,05:21:01.000,W
848,05:21:31.000,W
849,05:22:01.000,W
850,05:22:31.000,W
851,05:23:01.000,W
852,05:23:31.000,W
853,05:24:01.000,W
854,05:24:31.000,W
855,05:25:01.000,W
856,05:25:31.000,W
857,05:26:01.000,W
858,05:26:31.000,W
859,05:27:01.000,W
860,05:27:31.000,W
861,05:28:01.000,W
862,05:28:31.000,W
863,05:29:01.000,W
864,05:29:31.000,W
865,05:30:01.000,W
866,05:30:31.000,W
867,05:31:01.000,W
868,05:31:31.000,W
869,05:32:01.000,W
870,05:32:31.000,W
871,05:33:01.000,W
872,05:33:31.000,W
873,05:34:01.000,W
874,05:34:31.000,W
875,05:35:01.000,W
876,05:35:31.000,W
877,05:36:01.000,W
878,05:36:31.000,W
879,05:37:01.000,W
880,05:37:31.000,W
881,05:38:01.000,W
882,05:38:31.000,W
883,05:39:01.000,W
884,05:39:31.000,W
885,05:40:01.000,W
886,05:40:31.000,W
887,05:41:01.000,W
888,05:41:31.000,W
889,05:42:01.000,W
890,05:42:31.000,W
891,05:43:01.000,W
892,05:43:31.000,W
893,05:44:01.000,W
894,05:44:31.000,W
895,05:45:01.000,W
896,05:45:31.000,W
897,05:46:01.000,W
898,05:46:31.000,W
899,05:47:01.000,W
900,05:47:31.000,W
901,05:48:01.000,W
902,05:48:31.000,W
903,05:49:01.000,W
904,05:49:31.000,W
905,05:50:01.000,W
906,05:50:31.000,W
907,05:51:01.000,W
908,05:51:31.000,W
909,05:52:01.000,W
910,05:52:31.000,W
911,05:53:01.000,W
912,05:53:31.000,W
913,05:54:01.000,W
914,05:54:31.000,W
915,05:55:01.000,W
916,05:55:31.000,W
917,05:56:01.000,W
918,05:56:31.000,W
919,05:57:01.000,W
920,05:57:31.000,W
921,05:58:01.000,W
922,05:58:31.000,W
923,05:59:01.000,W
924,05:59:31.000,W
925,06:00:01.000,W
926,06:00:31.000,W
927,06:01:01.000,W
928,06:01:31.000,W
929,06:02:01.000,W
930,06:02:31.000,W
931,06:03:01.000,W
932,06:03:31.000,W
933,06:04:01.000,W
934,06:04:31.000,W
935,06:05:01.000,W
936,06:05:31.000,W
937,06:06:01.000,W
938,06:06:31.000,W
939,06:07:01.000,W
940,06:07:31.000,W
941,06:08:01.000,W
942,06:08:31.000,W
943,06:09:01.000,W
944,06:09:31.000,W
945,06:10:01.000,W
946,06:10:31.000,W
947,06:11:01.000,W
948,06:11:31.000,W
949,06:12:01.000,W
950,06:12:31.000,W
951,06:13:01.000,W
952,06:13:31.000,W
953,06:14:01.000,W
954,06:14:31.000,W
955,06:15:01.000,W
956,06:15:31.000,W
957,06:16:01.000,W
958,06:16:31.000,W
959,06:17:01.000,W
960,06:17:31.000,W
961,06:18:01.000,W
962,06:18:31.000,W
963,06:19:01.000,W
964,06:19:31.000,W
965,06:20:01.000,W
966,06:20:31.000,W
967,06:21:01.000,W
968,06:21:31.000,W
969,06:22:01.000,W
970,06:22:31.000,W
971,06:23:01.000,W
972,06:23:31.000,W
973,06:24:01.000,W
974,06:24:31.000,W
975,06:25:01.000,W
976,06:25:31.000,W
977,06:26:01.000,W
978,06:26:31.000,W
979,06:27:01.000,W
980,06:27:31.000,W
981,06:28:01.000,W
982,06:28:31.000,W
983,06:29:01.000,W
984,06:29:31.000,W
985,06:30:01.000,W
986,06:30:31.000,W
987,06:31:01.000,W
988,06:31:31.000,W
989,06:32:01.000,W
990,06:32:31.000,W
991,06:33:01.000,W
992,06:33:31.000,W
993,06:34:01.000,W
994,06:34:31.000,W
995,06:35:01.000,W
996,06:35:31.000,W
997,06:36:01.000,W
998,06:36:31.000,W
999,06:37:01.000,W
1000,06:37:31.000,W
1001,06:38:01.000,W
1002,06:38:31.000,W
1003,06:39:01.000,W
1004,06:39:31.000,W
1005,06:40:01.000,W
1006,06:40:31.000,W
1007,06:41:01.000,W
1008,06:41:31.000,W
1009,06:42:01.000,W
1010,06:42:31.000,W
1011,06:43:01.000,W
1012,06:43:31.000,W
1013,06:44:01.000,W
1014,06:44:31.000,W
1015,06:45:01.000,W
1016,06:45:31.000,W
1017,06:46:01.000,W
1018,06:46:31.000,W
1019,06:47:01.000,W
1020,06:47:31.000,W
1021,06:48:01.000,W
1022,06:48:31.000,W
1023,06:49:01.000,W
1024,06:49:31.000,W
1025,06:50:01.000,W
1026,06:50:31.000,W
1027,06:51:01.000,W
1028,06:51:31.000,W
1029,06:52:01.000,W
1030,06:52:31.000,W
1031,06:53:01.000,W
1032,06:53:31.000,W
1033,06:54:01.000,W
1034,06:54:31.000,W
1035,06:55:01.000,W
1036,06:55:31.000,W
1037,06:56:01.000,W
1038,06:56:31.000,W
1039,06:57:01.000,W
1040,06:57:31.000,W
1041,06:58:01.000,W
1042,06:58:31.000,W
1043,06:59:01.000,W
1044,06:59:31.000,W
1045,07:00:01.000,W
1046,07:00:31.000,W
1047,07:01:01.000,W
1048,07:01:31.000,W
1049,07:02:01.000,W
1050,07:02:31.000,W
1051,07:03:01.000,W
1052,07:03:31.000,W
