position (epoch),absolute position (hh:mm:ss.ms),Default Staging Set ("stage")
1,21:31:17.000,W
2,21:31:47.000,W
3,21:32:17.000,W
4,21:32:47.000,W
5,21:33:17.000,W
6,21:33:47.000,W
7,21:34:17.000,W
8,21:34:47.000,W
9,21:35:17.000,W
10,21:35:47.000,W
11,21:36:17.000,N1
12,21:36:47.000,N1
13,21:37:17.000,N1
14,21:37:47.000,N1
15,21:38:17.000,N1
16,21:38:47.000,N1
17,21:39:17.000,N2
18,21:39:47.000,N2
19,21:40:17.000,N2
20,21:40:47.000,N2
21,21:41:17.000,N2
22,21:41:47.000,N2
23,21:42:17.000,N2
24,21:42:47.000,N2
25,21:43:17.000,N3
26,21:43:47.000,N2
27,21:44:17.000,N2
28,21:44:47.000,N2
29,21:45:17.000,N2
30,21:45:47.000,N2
31,21:46:17.000,N2
32,21:46:47.000,N2
33,21:47:17.000,N2
34,21:47:47.000,N2
35,21:48:17.000,N2
36,21:48:47.000,N2
37,21:49:17.000,N2
38,21:49:47.000,N2
39,21:50:17.000,N2
40,21:50:47.000,N2
41,21:51:17.000,N2
42,21:51:47.000,N2
43,21:52:17.000,N2
44,21:52:47.000,N2
45,21:53:17.000,N2
46,21:53:47.000,N2
47,21:54:17.000,N3
48,21:54:47.000,N3
49,21:55:17.000,N3
50,21:55:47.000,N3
51,21:56:17.000,N3
52,21:56:47.000,N3
53,21:57:17.000,N3
54,21:57:47.000,N3
55,21:58:17.000,N3
56,21:58:47.000,N3
57,21:59:17.000,N3
58,21:59:47.000,N3
59,22:00:17.000,N3
60,22:00:47.000,N3
61,22:01:17.000,N3
62,22:01:47.000,N3
63,22:02:17.000,N3
64,22:02:47.000,N2
65,22:03:17.000,N1
66,22:03:47.000,N1
67,22:04:17.000,N2
68,22:04:47.000,N2
69,22:05:17.000,N2
70,22:05:47.000,N2
71,22:06:17.000,N1
72,22:06:47.000,W
73,22:07:17.000,N1
74,22:07:47.000,N1
75,22:08:17.000,N1
76,22:08:47.000,N2
77,22:09:17.000,N2
78,22:09:47.000,N2
79,22:10:17.000,N1
80,22:10:47.000,N2
81,22:11:17.000,N2
82,22:11:47.000,N2
83,22:12:17.000,N2
84,22:12:47.000,N2
85,22:13:17.000,N2
86,22:13:47.000,N2
87,22:14:17.000,N2
88,22:14:47.000,N2
89,22:15:17.000,N1
90,22:15:47.000,N2
91,22:16:17.000,N2
92,22:16:47.000,N2
93,22:17:17.000,N2
94,22:17:47.000,N1
95,22:18:17.000,N2
96,22:18:47.000,W
97,22:19:17.000,N1
98,22:19:47.000,N1
99,22:20:17.000,N2
100,22:20:47.000,N1
101,22:21:17.000,N2
102,22:21:47.000,N1
103,22:22:17.000,N1
104,22:22:47.000,N1
105,22:23:17.000,N2
106,22:23:47.000,W
107,22:24:17.000,W
108,22:24:47.000,W
109,22:25:17.000,W
110,22:25:47.000,W
111,22:26:17.000,W
112,22:26:47.000,W
113,22:27:17.000,W
114,22:27:47.000,N1
115,22:28:17.000,N2
116,22:28:47.000,N2
117,22:29:17.000,N2
118,22:29:47.000,N2
119,22:30:17.000,N2
120,22:30:47.000,N2
121,22:31:17.000,N2
122,22:31:47.000,N2
123,22:32:17.000,N2
124,22:32:47.000,N2
125,22:33:17.000,N2
126,22:33:47.000,N2
127,22:34:17.000,N2
128,22:34:47.000,N1
129,22:35:17.000,N1
130,22:35:47.000,N2
131,22:36:17.000,N2
132,22:36:47.000,N2
133,22:37:17.000,N2
134,22:37:47.000,W
135,22:38:17.000,N1
136,22:38:47.000,N2
137,22:39:17.000,N2
138,22:39:47.000,N1
139,22:40:17.000,N1
140,22:40:47.000,N2
141,22:41:17.000,N1
142,22:41:47.000,N2
143,22:42:17.000,N2
144,22:42:47.000,N2
145,22:43:17.000,R
146,22:43:47.000,R
147,22:44:17.000,R
148,22:44:47.000,R
149,22:45:17.000,R
150,22:45:47.000,R
151,22:46:17.000,R
152,22:46:47.000,R
153,22:47:17.000,R
154,22:47:47.000,R
155,22:48:17.000,R
156,22:48:47.000,R
157,22:49:17.000,R
158,22:49:47.000,R
159,22:50:17.000,R
160,22:50:47.000,R
161,22:51:17.000,R
162,22:51:47.000,R
163,22:52:17.000,R
164,22:52:47.000,W
165,22:53:17.000,N1
166,22:53:47.000,N1
167,22:54:17.000,N1
168,22:54:47.000,N2
169,22:55:17.000,N2
170,22:55:47.000,N2
171,22:56:17.000,N2
172,22:56:47.000,N2
173,22:57:17.000,N2
174,22:57:47.000,N2
175,22:58:17.000,R
176,22:58:47.000,R
177,22:59:17.000,R
178,22:59:47.000,R
179,23:00:17.000,R
180,23:00:47.000,R
181,23:01:17.000,N2
182,23:01:47.000,N2
183,23:02:17.000,N2
184,23:02:47.000,N2
185,23:03:17.000,N2
186,23:03:47.000,N2
187,23:04:17.000,N2
188,23:04:47.000,N2
189,23:05:17.000,N2
190,23:05:47.000,N2
191,23:06:17.000,N2
192,23:06:47.000,N2
193,23:07:17.000,N2
194,23:07:47.000,N2
195,23:08:17.000,N2
196,23:08:47.000,N2
197,23:09:17.000,N3
198,23:09:47.000,N2
199,23:10:17.000,N2
200,23:10:47.000,N2
201,23:11:17.000,N2
202,23:11:47.000,N3
203,23:12:17.000,N3
204,23:12:47.000,N3
205,23:13:17.000,N3
206,23:13:47.000,N3
207,23:14:17.000,N3
208,23:14:47.000,N2
209,23:15:17.000,W
210,23:15:47.000,W
211,23:16:17.000,W
212,23:16:47.000,N1
213,23:17:17.000,N1
214,23:17:47.000,N1
215,23:18:17.000,N2
216,23:18:47.000,N2
217,23:19:17.000,N2
218,23:19:47.000,N2
219,23:20:17.000,N2
220,23:20:47.000,N2
221,23:21:17.000,N2
222,23:21:47.000,N2
223,23:22:17.000,N2
224,23:22:47.000,N2
225,23:23:17.000,N2
226,23:23:47.000,N2
227,23:24:17.000,N2
228,23:24:47.000,N2
229,23:25:17.000,N2
230,23:25:47.000,N3
231,23:26:17.000,N3
232,23:26:47.000,N3
233,23:27:17.000,N3
234,23:27:47.000,N3
235,23:28:17.000,N3
236,23:28:47.000,N3
237,23:29:17.000,N3
238,23:29:47.000,N3
239,23:30:17.000,N3
240,23:30:47.000,N3
241,23:31:17.000,N3
242,23:31:47.000,N3
243,23:32:17.000,N3
244,23:32:47.000,N3
245,23:33:17.000,N3
246,23:33:47.000,N3
247,23:34:17.000,N3
248,23:34:47.000,N3
249,23:35:17.000,N3
250,23:35:47.000,N3
251,23:36:17.000,N3
252,23:36:47.000,N3
253,23:37:17.000,N3
254,23:37:47.000,N3
255,23:38:17.000,N3
256,23:38:47.000,N2
257,23:39:17.000,N2
258,23:39:47.000,N1
259,23:40:17.000,N2
260,23:40:47.000,N2
261,23:41:17.000,N2
262,23:41:47.000,N2
263,23:42:17.000,N1
264,23:42:47.000,N1
265,23:43:17.000,N1
266,23:43:47.000,N1
267,23:44:17.000,N2
268,23:44:47.000,N2
269,23:45:17.000,N2
270,23:45:47.000,N1
271,23:46:17.000,N2
272,23:46:47.000,N2
273,23:47:17.000,N2
274,23:47:47.000,N2
275,23:48:17.000,N2
276,23:48:47.000,N2
277,23:49:17.000,N2
278,23:49:47.000,N2
279,23:50:17.000,N2
280,23:50:47.000,N2
281,23:51:17.000,N2
282,23:51:47.000,N2
283,23:52:17.000,N2
284,23:52:47.000,N2
285,23:53:17.000,N2
286,23:53:47.000,N2
287,23:54:17.000,N2
288,23:54:47.000,N2
289,23:55:17.000,N2
290,23:55:47.000,N2
291,23:56:17.000,N2
292,23:56:47.000,N2
293,23:57:17.000,N2
294,23:57:47.000,N2
295,23:58:17.000,N2
296,23:58:47.000,N2
297,23:59:17.000,N2
298,23:59:47.000,N2
299,00:00:17.000,N2
300,00:00:47.000,N2
301,00:01:17.000,N2
302,00:01:47.000,N2
303,00:02:17.000,N1
304,00:02:47.000,N2
305,00:03:17.000,N2
306,00:03:47.000,N2
307,00:04:17.000,N2
308,00:04:47.000,N2
309,00:05:17.000,N2
310,00:05:47.000,N2
311,00:06:17.000,N2
312,00:06:47.000,N2
313,00:07:17.000,N2
314,00:07:47.000,N2
315,00:08:17.000,N2
316,00:08:47.000,N2
317,00:09:17.000,N1
318,00:09:47.000,N2
319,00:10:17.000,N2
320,00:10:47.000,N2
321,00:11:17.000,N2
